"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ASV"
"ASV49",47.2667277768163,0.602215419644395,1.12606413293112,0.534796733181475,0.592790422283644,1,"ASV49"
"ASV50",63.6457504985242,-2.00993733275948,1.34155931647306,-1.49820981307302,NA,NA,"ASV50"
"ASV51",67.7524249145142,-2.13449144687053,1.93924919135242,-1.10067930227262,NA,NA,"ASV51"
"ASV52",49.6142947136342,-0.330833484610249,1.47607539581482,-0.224130478394448,0.822655777359725,1,"ASV52"
"ASV53",46.1423255619059,0.0589593006623487,1.14040547342671,0.051700296110634,0.958767501294763,1,"ASV53"
"ASV54",48.0819988843155,-1.45791118194516,1.49289672119436,-0.976565331846121,0.328784389278411,1,"ASV54"
"ASV55",48.2476957530173,-1.18432373547665,1.20499253727278,-0.982847361160504,0.325682568192383,1,"ASV55"
"ASV56",44.2092973222943,0.266077374724325,1.17878285315622,0.225722128559893,0.821417546117082,1,"ASV56"
"ASV58",46.2031294568451,-1.36944957082735,1.83482162716564,-0.746366595287422,0.455445992598159,1,"ASV58"
"ASV59",41.7106225947134,0.661722587714081,1.15840234959854,0.571237263066162,0.567838822170758,1,"ASV59"
"ASV60",44.2429780740482,-1.33966027691276,1.85054490850439,-0.72392746090959,0.469110269943438,1,"ASV60"
"ASV61",40.8392208860639,-1.43931340532418,2.010865283822,-0.715768190392401,0.474134497049438,1,"ASV61"
"ASV62",42.8355894995085,-0.207762880525709,1.14112528311239,-0.18206842281072,0.855529029462331,1,"ASV62"
"ASV65",41.0125835110422,-1.95871363664572,2.18044470417698,-0.898309245308307,0.369020704961506,1,"ASV65"
"ASV67",43.2291168319212,-0.694965718433078,1.17425205524148,-0.591836918939999,0.553959798356917,1,"ASV67"
"ASV68",38.4019800098195,0.757724522884153,2.02139958657721,0.374851428641672,0.707770963765045,1,"ASV68"
"ASV69",37.9712679500716,1.13111124267775,1.65813721558481,0.682157804581222,0.495139172607312,1,"ASV69"
"ASV70",37.0008420748315,-1.06479871642987,2.39369076485411,-0.444835536847119,0.656438610910841,1,"ASV70"
"ASV73",35.8938516134731,0.249107542925536,1.36499741316255,0.182496714296609,0.855192932674285,1,"ASV73"
"ASV74",31.8163175333728,23.2771613915907,3.65040206528816,6.3766020770518,NA,NA,"ASV74"
